locale,peak_new,since_peak_new,current_day,previous_day,two_days_ago,three_days_ago,five_days_ago,ten_days_ago,fifteen_days_ago,new,new_prev,new_prev_prev,new_5,new_5_prev,new_5_prev_prev,growth_rate,growth_rate_prev,growth_factor,growth_rate_5,growth_rate_5_prev,growth_factor_5
Washington,266.0,6.0,904.0,643.0,572.0,568.0,366.0,0.0,0.0,261.0,71.0,4.0,538.0,366.0,0.0,2.676056338028169,16.75,0.15976455749421906,0.46994535519125685,inf,0.0
New York,235.0,0.0,967.0,732.0,525.0,421.0,220.0,0.0,0.0,235.0,207.0,104.0,747.0,220.0,0.0,0.13526570048309178,0.9903846153846154,0.13657895971108294,2.3954545454545455,inf,0.0
California,142.0,6.0,557.0,426.0,340.0,282.0,177.0,0.0,0.0,131.0,86.0,58.0,380.0,177.0,0.0,0.5232558139534884,0.4827586206896552,1.0838870431893688,1.1468926553672316,inf,0.0
New Jersey,80.0,0.0,178.0,98.0,69.0,29.0,23.0,0.0,0.0,80.0,29.0,40.0,155.0,23.0,0.0,1.7586206896551724,-0.275,-6.394984326018808,5.739130434782608,inf,0.0
Ontario,73.0,0.0,177.0,104.0,79.0,74.0,41.0,0.0,0.0,73.0,25.0,5.0,136.0,41.0,0.0,1.92,4.0,0.48,2.317073170731707,inf,0.0
Louisiana,45.0,0.0,136.0,91.0,77.0,36.0,6.0,0.0,0.0,45.0,14.0,41.0,130.0,6.0,0.0,2.2142857142857144,-0.6585365853658537,-3.3624338624338623,20.666666666666668,inf,0.0
Florida,40.0,0.0,155.0,115.0,76.0,50.0,28.0,0.0,0.0,40.0,39.0,26.0,127.0,28.0,0.0,0.02564102564102564,0.5,0.05128205128205128,3.5357142857142856,inf,0.0
New South Wales,37.0,0.0,171.0,134.0,112.0,92.0,65.0,26.0,6.0,37.0,22.0,20.0,106.0,39.0,20.0,0.6818181818181818,0.1,6.8181818181818175,1.7179487179487178,0.95,1.8083670715249662
Massachusetts,33.0,0.0,197.0,164.0,138.0,123.0,95.0,0.0,0.0,33.0,26.0,15.0,102.0,95.0,0.0,0.2692307692307692,0.7333333333333333,0.36713286713286714,0.07368421052631578,inf,0.0
British Columbia,30.0,0.0,103.0,73.0,64.0,64.0,39.0,21.0,8.0,30.0,9.0,0.0,64.0,18.0,13.0,2.3333333333333335,inf,0.0,2.5555555555555554,0.38461538461538464,6.644444444444444
Colorado,52.0,2.0,160.0,131.0,101.0,49.0,34.0,0.0,0.0,29.0,30.0,52.0,126.0,34.0,0.0,-0.03333333333333333,-0.4230769230769231,0.07878787878787878,2.7058823529411766,inf,0.0
Quebec,26.0,0.0,50.0,24.0,17.0,17.0,8.0,0.0,0.0,26.0,7.0,0.0,42.0,8.0,0.0,2.7142857142857144,inf,0.0,4.25,inf,0.0
Georgia,33.0,1.0,121.0,99.0,66.0,42.0,23.0,0.0,0.0,22.0,33.0,24.0,98.0,23.0,0.0,-0.3333333333333333,0.375,-0.8888888888888888,3.260869565217391,inf,0.0
Nevada,21.0,0.0,45.0,24.0,21.0,17.0,7.0,0.0,0.0,21.0,3.0,4.0,38.0,7.0,0.0,6.0,-0.25,-24.0,4.428571428571429,inf,0.0
Michigan,20.0,0.0,53.0,33.0,25.0,16.0,2.0,0.0,0.0,20.0,8.0,9.0,51.0,2.0,0.0,1.5,-0.1111111111111111,-13.5,24.5,inf,0.0
Minnesota,19.0,0.0,54.0,35.0,21.0,14.0,5.0,0.0,0.0,19.0,14.0,7.0,49.0,5.0,0.0,0.35714285714285715,1.0,0.35714285714285715,8.8,inf,0.0
Alberta,17.0,0.0,56.0,39.0,29.0,29.0,19.0,0.0,0.0,17.0,10.0,0.0,37.0,19.0,0.0,0.7,inf,0.0,0.9473684210526315,inf,0.0
Alabama,17.0,0.0,29.0,12.0,6.0,5.0,0.0,0.0,0.0,17.0,6.0,1.0,29.0,0.0,0.0,1.8333333333333333,5.0,0.36666666666666664,inf,,
Wisconsin,15.0,0.0,47.0,32.0,27.0,19.0,6.0,0.0,0.0,15.0,5.0,8.0,41.0,6.0,0.0,2.0,-0.375,-5.333333333333333,5.833333333333333,inf,0.0
Victoria,15.0,3.0,71.0,57.0,49.0,36.0,21.0,10.0,7.0,14.0,8.0,13.0,50.0,11.0,3.0,0.75,-0.38461538461538464,-1.95,3.5454545454545454,2.6666666666666665,1.3295454545454546
Ohio,13.0,2.0,50.0,37.0,26.0,13.0,4.0,0.0,0.0,13.0,11.0,13.0,46.0,4.0,0.0,0.18181818181818182,-0.15384615384615385,-1.1818181818181819,10.5,inf,0.0
Texas,16.0,3.0,85.0,72.0,57.0,43.0,21.0,0.0,0.0,13.0,15.0,14.0,64.0,21.0,0.0,-0.13333333333333333,0.07142857142857142,-1.8666666666666667,2.0476190476190474,inf,0.0
Tennessee,13.0,0.0,52.0,39.0,32.0,26.0,9.0,0.0,0.0,13.0,7.0,6.0,43.0,9.0,0.0,0.8571428571428571,0.16666666666666666,5.142857142857143,3.7777777777777777,inf,0.0
Illinois,29.0,1.0,105.0,93.0,64.0,46.0,25.0,0.0,0.0,12.0,29.0,18.0,80.0,25.0,0.0,-0.5862068965517241,0.6111111111111112,-0.9592476489028211,2.2,inf,0.0
Pennsylvania,19.0,3.0,77.0,66.0,47.0,41.0,16.0,0.0,0.0,11.0,19.0,6.0,61.0,16.0,0.0,-0.42105263157894735,2.1666666666666665,-0.19433198380566802,2.8125,inf,0.0
Utah,18.0,1.0,39.0,28.0,10.0,9.0,3.0,0.0,0.0,11.0,18.0,1.0,36.0,3.0,0.0,-0.3888888888888889,17.0,-0.022875816993464054,11.0,inf,0.0
Western Australia,11.0,0.0,28.0,17.0,17.0,14.0,9.0,3.0,2.0,11.0,0.0,3.0,19.0,6.0,1.0,inf,-1.0,-inf,2.1666666666666665,5.0,0.4333333333333333
Beijing,29.0,44.0,452.0,442.0,437.0,436.0,435.0,422.0,413.0,10.0,5.0,1.0,17.0,13.0,9.0,1.0,4.0,0.25,0.3076923076923077,0.4444444444444444,0.6923076923076924
Hong Kong,11.0,34.0,155.0,145.0,140.0,134.0,126.0,107.0,96.0,10.0,5.0,6.0,29.0,19.0,11.0,1.0,-0.16666666666666666,-6.0,0.5263157894736842,0.7272727272727273,0.7236842105263157
South Australia,9.0,0.0,29.0,20.0,19.0,16.0,9.0,7.0,3.0,9.0,1.0,3.0,20.0,2.0,4.0,8.0,-0.6666666666666666,-12.0,9.0,-0.5,-18.0
Maryland,9.0,0.0,41.0,32.0,26.0,18.0,9.0,0.0,0.0,9.0,6.0,8.0,32.0,9.0,0.0,0.5,-0.25,-2.0,2.5555555555555554,inf,0.0
Faroe Islands,7.0,0.0,18.0,11.0,9.0,3.0,2.0,0.0,0.0,7.0,2.0,6.0,16.0,2.0,0.0,2.5,-0.6666666666666666,-3.75,7.0,inf,0.0
Queensland,15.0,3.0,68.0,61.0,46.0,35.0,20.0,13.0,9.0,7.0,15.0,11.0,48.0,7.0,4.0,-0.5333333333333333,0.36363636363636365,-1.4666666666666666,5.857142857142857,0.75,7.809523809523809
Connecticut,11.0,2.0,30.0,24.0,22.0,11.0,3.0,0.0,0.0,6.0,2.0,11.0,27.0,3.0,0.0,2.0,-0.8181818181818182,-2.444444444444444,8.0,inf,0.0
District of Columbia,6.0,1.0,22.0,16.0,10.0,10.0,10.0,0.0,0.0,6.0,6.0,0.0,12.0,10.0,0.0,0.0,inf,0.0,0.2,inf,0.0
Arkansas,6.0,2.0,22.0,16.0,12.0,6.0,1.0,0.0,0.0,6.0,4.0,6.0,21.0,1.0,0.0,0.5,-0.3333333333333333,-1.5,20.0,inf,0.0
Indiana,5.0,5.0,25.0,20.0,16.0,13.0,11.0,0.0,0.0,5.0,4.0,3.0,14.0,11.0,0.0,0.25,0.3333333333333333,0.75,0.2727272727272727,inf,0.0
Arizona,5.0,6.0,18.0,13.0,12.0,9.0,9.0,0.0,0.0,5.0,1.0,3.0,9.0,9.0,0.0,4.0,-0.6666666666666666,-6.0,0.0,inf,0.0
Iowa,5.0,5.0,23.0,18.0,17.0,17.0,13.0,0.0,0.0,5.0,1.0,0.0,10.0,13.0,0.0,4.0,inf,0.0,-0.23076923076923078,inf,-0.0
North Carolina,9.0,1.0,38.0,33.0,24.0,17.0,7.0,0.0,0.0,5.0,9.0,7.0,31.0,7.0,0.0,-0.4444444444444444,0.2857142857142857,-1.5555555555555556,3.4285714285714284,inf,0.0
Saskatchewan,5.0,0.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,inf,,,inf,,
South Carolina,9.0,1.0,33.0,28.0,19.0,13.0,10.0,0.0,0.0,5.0,9.0,6.0,23.0,10.0,0.0,-0.4444444444444444,0.5,-0.8888888888888888,1.3,inf,0.0
Nova Scotia,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,inf,,,inf,,
Maine,9.0,1.0,17.0,12.0,3.0,1.0,0.0,0.0,0.0,5.0,9.0,2.0,17.0,0.0,0.0,-0.4444444444444444,3.5,-0.12698412698412698,inf,,
Virginia,13.0,3.0,49.0,45.0,41.0,30.0,9.0,0.0,0.0,4.0,4.0,11.0,40.0,9.0,0.0,0.0,-0.6363636363636364,-0.0,3.4444444444444446,inf,0.0
New Mexico,5.0,3.0,17.0,13.0,10.0,10.0,3.0,0.0,0.0,4.0,3.0,0.0,14.0,3.0,0.0,0.3333333333333333,inf,0.0,3.6666666666666665,inf,0.0
New Hampshire,6.0,1.0,17.0,13.0,7.0,6.0,5.0,0.0,0.0,4.0,6.0,1.0,12.0,5.0,0.0,-0.3333333333333333,5.0,-0.06666666666666667,1.4,inf,0.0
Hubei,14840.0,32.0,67798.0,67794.0,67790.0,67786.0,67773.0,67592.0,66907.0,4.0,4.0,4.0,25.0,181.0,685.0,0.0,0.0,,-0.861878453038674,-0.7357664233576642,1.1714022625624836
Vermont,4.0,0.0,12.0,8.0,5.0,2.0,1.0,0.0,0.0,4.0,3.0,3.0,11.0,1.0,0.0,0.3333333333333333,0.0,inf,10.0,inf,0.0
New Brunswick,4.0,0.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,1.0,0.0,3.0,inf,0.0,4.0,inf,0.0
Oregon,6.0,3.0,39.0,36.0,32.0,30.0,19.0,0.0,0.0,3.0,4.0,2.0,20.0,19.0,0.0,-0.25,1.0,-0.25,0.05263157894736842,inf,0.0
Mississippi,5.0,2.0,13.0,10.0,6.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,13.0,0.0,0.0,-0.25,-0.2,1.25,inf,,
Guadeloupe,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,inf,,,inf,,
Kansas,4.0,3.0,11.0,8.0,8.0,5.0,1.0,0.0,0.0,3.0,0.0,3.0,10.0,1.0,0.0,inf,-1.0,-inf,9.0,inf,0.0
Manitoba,3.0,0.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,inf,,,inf,,
Channel Islands,3.0,0.0,6.0,3.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,2.0,inf,0.0,1.0,inf,0.0
Oklahoma,3.0,1.0,10.0,7.0,4.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,8.0,2.0,0.0,0.0,0.5,0.0,3.0,inf,0.0
Saint Barthelemy,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,inf,,,1.0,inf,0.0
Yunnan,18.0,48.0,176.0,174.0,174.0,174.0,174.0,174.0,174.0,2.0,0.0,0.0,2.0,0.0,0.0,inf,,,inf,,
Shanghai,34.0,44.0,355.0,353.0,353.0,346.0,344.0,342.0,337.0,2.0,0.0,7.0,11.0,2.0,5.0,inf,-1.0,-inf,4.5,-0.6,-7.5
Macau,3.0,50.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,inf,,,inf,,
Missouri,2.0,2.0,6.0,5.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,-0.5,-0.0,4.0,inf,0.0
Hawaii,2.0,2.0,7.0,6.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,5.0,2.0,0.0,-0.5,0.0,-inf,1.5,inf,0.0
Rhode Island,9.0,3.0,21.0,20.0,20.0,14.0,5.0,0.0,0.0,1.0,0.0,6.0,16.0,5.0,0.0,inf,-1.0,-inf,2.2,inf,0.0
Grand Princess,2.0,3.0,22.0,21.0,21.0,23.0,21.0,0.0,0.0,1.0,0.0,-2.0,1.0,21.0,0.0,inf,-1.0,-inf,-0.9523809523809523,inf,-0.0
Kentucky,6.0,1.0,21.0,20.0,14.0,14.0,8.0,0.0,0.0,1.0,6.0,0.0,13.0,8.0,0.0,-0.8333333333333334,inf,-0.0,0.625,inf,0.0
Nebraska,5.0,4.0,18.0,17.0,14.0,13.0,5.0,0.0,0.0,1.0,3.0,1.0,13.0,5.0,0.0,-0.6666666666666666,2.0,-0.3333333333333333,1.6,inf,0.0
Guangdong,99.0,44.0,1361.0,1360.0,1356.0,1356.0,1356.0,1352.0,1349.0,1.0,4.0,0.0,5.0,4.0,3.0,-0.75,inf,-0.0,0.25,0.3333333333333333,0.75
South Dakota,8.0,5.0,10.0,9.0,9.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,inf,-1.0,-inf,-0.75,inf,-0.0
Diamond Princess,696.0,5.0,743.0,742.0,742.0,742.0,742.0,0.0,0.0,1.0,0.0,0.0,1.0,742.0,0.0,inf,,,-0.9986522911051213,inf,-0.0
Virgin Islands,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,inf,,,inf,,
Australian Capital Territory,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,inf,,,inf,,
Tasmania,2.0,3.0,7.0,6.0,5.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,inf,0.0,1.0,1.0,1.0
Curacao,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,inf,,,inf,,
Cayman Islands,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,inf,,,inf,,
Delaware,3.0,3.0,8.0,7.0,6.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,-0.5,-0.0,6.0,inf,0.0
UK,0.0,4.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,-456.0,456.0,0.0,,,,-2.0,inf,-0.0
"Orange County, CA",1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,,,,-1.0,-2.0,0.5
"Orange, CA",0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,-1.0,
"Umatilla, OR",0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
"Ulster County, NY",0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Pinal County, AZ",0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Pierce County, WA",3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Unassigned Location, VT",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Tulsa County, OK",0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Placer County, CA",3.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0,5.0,,,,-1.0,-2.0,0.5
"Plymouth County, MA",0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Polk County, GA",0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Portland, OR",1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,-1.0,
Prince Edward Island,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,inf,-0.0,inf,,
"Providence County, RI",0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Unassigned Location (From Diamond Princess),6.0,19.0,0.0,0.0,0.0,0.0,0.0,45.0,44.0,0.0,0.0,0.0,0.0,-45.0,1.0,,,,-1.0,-46.0,0.021739130434782608
"Unassigned Location, WA",0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0,5.0,,,,-1.0,-2.0,0.5
"Omaha, NE (From Diamond Princess)",0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Puerto Rico,2.0,1.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,-1.0,-0.3333333333333333,3.0,inf,,
"Yolo County, CA",0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
North Dakota,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,inf,,
Xinjiang,6.0,34.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Wyoming,1.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,-1.0,0.0,-inf,inf,,
"Williamson County, TN",0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
"Westchester County, NY",38.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,-19.0,19.0,,,,-1.0,-2.0,0.5
West Virginia,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Wayne County, PA",0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
"Washoe County, NV",1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
"Washington, D.C.",0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Northern Territory,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,-1.0,inf,-0.0
"Norwell County, MA",,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
"Washington County, OR",5.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,,,,-1.0,-2.0,0.5
"Okaloosa County, FL",0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Wake County, NC",0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
"Volusia County, FL",0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Unknown Location, MA",0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Providence, RI",1.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,,,,-1.0,-3.0,0.3333333333333333
Qinghai,5.0,49.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Sonoma County, CA",2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
Shandong,203.0,24.0,760.0,760.0,760.0,760.0,760.0,758.0,758.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,-1.0,inf,-0.0
"Santa Cruz County, CA",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Santa Rosa County, FL",0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,,,,-1.0,-2.0,0.5
